name of the place,category,latitude,longitude,description,timings,Place,Category,Timings
Sri Venkateswara Tiffin Center,Food Place,13.6288,79.4192,popular breakfast spot,06:00-11:00 | 12:00-15:00 | 18:00-23:00,,,
Mayura Restaurant,Food Place,13.6315,79.4195,vegetarian meals served,12:00-15:00 | 18:00-23:00,,,
Minerva Coffee Shop,Food Place,13.632,79.42,coffee snacks hub,07:00-10:30 | 12:00-15:00 | 18:00-22:00,,,
Hotel Bliss Restaurant,Food Place,13.6312,79.4178,multi cuisine dining,12:00-14:30 | 18:00-22:00,,,
Saravana Bhavan,Food Place,13.6305,79.4189,south indian meals,07:00-11:00 | 12:00-15:00 | 18:00-23:00,,,
Bhimas Deluxe,Food Place,13.6331,79.4212,family dining place,12:00-15:00 | 18:00-23:00,,,
Woodside Restaurant,Food Place,13.6299,79.4167,premium veg restaurant,12:00-15:00 | 18:00-23:00,,,
Sri Lakshmi Narayana Bhavan,Food Place,13.628,79.419,traditional breakfast items,07:00-10:00 | 12:00-15:00 | 18:00-23:00,,,
Hotel PLR Grand Restaurant,Food Place,13.6317,79.4182,buffet style dining,12:00-15:00 | 18:00-23:00,,,
Udayee International Restaurant,Food Place,13.6322,79.4208,multi cuisine buffet,12:00-14:30 | 18:00-22:00,,,
Ramee Guestline Restaurant,Food Place,13.6295,79.4175,luxury dining experience,12:00-15:00 | 18:00-23:00,,,
Andhra Spice Restaurant,Food Place,13.6309,79.4198,spicy andhra meals,12:00-14:30 | 18:00-22:00,,,
Tirupati Food Plaza,Food Place,13.6298,79.4203,quick service meals,07:00-22:00,,,
Sai Annapurna Mess,Food Place,13.6289,79.4181,simple veg meals,12:00-14:00 | 18:00-21:00,,,
Sri Balaji Woodlands,Food Place,13.631,79.4196,tiffin and meals,07:00-10:30 | 12:00-15:00 | 18:00-23:00,,,
Hotel Sindhuri Restaurant,Food Place,13.6302,79.4187,budget friendly meals,12:00-15:00 | 18:00-22:00,,,
Hotel Bhimas Paradise,Food Place,13.6335,79.4215,family dining meals,12:00-15:00 | 18:00-23:00,,,
Sri Venkateswara Fast Food,Food Place,13.6287,79.4193,evening snacks hub,16:00-22:00,,,
Balaji Fast Food Center,Food Place,13.6291,79.4185,street food varieties,17:00-22:00,,,
Annapurna Tiffins,Food Place,13.6286,79.4191,quick breakfast items,06:00-10:00 | 12:00-15:00 | 18:00-23:00,,,
Talakona Forest Trek,Adventure Place,13.802,79.21,forest trekking experience,09:00-21:00,,,
Talakona Waterfall Trek,Adventure Place,13.8025,79.2095,waterfall trekking trail,09:00-21:00,,,
Sri Vari Mettu Trek,Adventure Place,13.635,79.345,sacred trekking path,09:00-21:00,,,
Alipiri Footpath Trek,Adventure Place,13.628,79.41,hill climbing route,09:00-21:00,,,
Chandragiri Fort Trek,Adventure Place,13.585,79.318,fort hiking trail,09:00-21:00,,,
Kapila Teertham Trail,Adventure Place,13.6358,79.4183,waterfall hiking path,09:00-21:00,,,
Tirumala Hills Cycling,Adventure Place,13.683,79.35,hill cycling route,09:00-21:00,,,
Papavinasam Trek,Adventure Place,13.6785,79.3502,forest trail walk,09:00-21:00,,,
Akasa Ganga Trail,Adventure Place,13.682,79.345,scenic hill trek,09:00-21:00,,,
Silathoranam Trek,Adventure Place,13.6835,79.3475,natural arch trek,09:00-21:00,,,
Japali Teertham Trek,Adventure Place,13.69,79.36,forest temple trek,09:00-21:00,,,
Deer Park Trail,Adventure Place,13.685,79.355,nature walking trail,09:00-21:00,,,
Seshachalam Hills Trek,Adventure Place,13.7,79.3,hill trekking zone,09:00-21:00,,,
Talakona Zipline Area,Adventure Place,13.803,79.211,zipline adventure activity,09:00-16:00,,,
Rock Climbing Tirumala,Adventure Place,13.684,79.348,rock climbing spot,09:00-21:00,,,
Forest Camping Talakona,Adventure Place,13.801,79.212,overnight camping experience,18:00-23:59 | 00:00-06:00,,,
Jungle Safari Talakona,Adventure Place,13.804,79.213,wildlife safari ride,09:00-21:00,,,
Bird Watching Seshachalam,Adventure Place,13.702,79.302,bird watching zone,06:00-10:00,,,
Night Trek Tirumala,Adventure Place,13.6835,79.349,night trekking experience,20:00-23:59 | 00:00-04:00,,,
Eco Trail Talakona,Adventure Place,13.805,79.214,eco tourism trail,09:00-21:00,,,
Tirumala Venkateswara Temple,Temple,13.6833,79.347,famous pilgrimage temple,05:00-12:00 | 14:00-22:00,,,
Kapila Teertham Temple,Temple,13.6358,79.4183,waterfall shiva temple,05:00-12:00 | 14:00-22:00,,,
Govindaraja Swamy Temple,Temple,13.6288,79.4192,historic vaishnav temple,05:00-12:00 | 14:00-22:00,,,
Padmavathi Temple Tiruchanoor,Temple,13.6075,79.429,goddess padmavathi temple,05:00-12:00 | 14:00-22:00,,,
ISKCON Tirupati,Temple,13.6295,79.415,hare krishna temple,05:00-12:00 | 14:00-22:00,,,
Varahaswamy Temple,Temple,13.683,79.346,boar avatar temple,05:00-12:00 | 14:00-22:00,,,
Japali Hanuman Temple,Temple,13.69,79.36,forest hanuman temple,05:00-12:00 | 14:00-22:00,,,
Sri Bedi Anjaneya Temple,Temple,13.6835,79.3465,anjaneya temple shrine,05:00-12:00 | 14:00-22:00,,,
Vakula Mata Temple,Temple,13.6905,79.348,mother of balaji,05:00-12:00 | 14:00-22:00,,,
Appalayagunta Temple,Temple,13.563,79.295,venkateswara temple site,05:00-12:00 | 14:00-22:00,,,
Srikalahasti Temple,Temple,13.749,79.703,famous shiva temple,05:00-12:00 | 14:00-22:00,,,
Surutapalli Temple,Temple,13.74,79.9,sleeping shiva temple,05:00-12:00 | 14:00-22:00,,,
Nagari Temple,Temple,13.32,79.59,hill temple shrine,05:00-12:00 | 14:00-22:00,,,
Chandragiri Temple,Temple,13.5855,79.3185,temple near fort,05:00-12:00 | 14:00-22:00,,,
Yoga Narasimha Temple,Temple,13.7005,79.305,hilltop narasimha temple,05:00-12:00 | 14:00-22:00,,,
Sri Prasanna Venkateswara,Temple,13.561,79.3025,temple near appalayagunta,05:00-12:00 | 14:00-22:00,,,
Alipiri Temple,Temple,13.628,79.41,entry temple tirumala,05:00-12:00 | 14:00-22:00,,,
Talakona Waterfalls,Sightseeing,13.802,79.21,highest waterfall region,09:00-21:00,,,
Kapila Teertham Waterfall,Sightseeing,13.6358,79.4183,waterfall near temple,09:00-21:00,,,
Akasa Ganga Waterfalls,Sightseeing,13.682,79.345,sacred waterfall site,09:00-21:00,,,
Papavinasam Waterfalls,Sightseeing,13.6785,79.3502,holy waterfall site,09:00-21:00,,,
Silathoranam Natural Arch,Sightseeing,13.6835,79.3475,natural rock arch,09:00-21:00,,,
Chandragiri Fort,Sightseeing,13.585,79.318,historic fort view,09:00-17:00,,,
Seshachalam Hills,Sightseeing,13.7,79.3,scenic hill range,09:00-21:00,,,
Tirumala Hills Viewpoint,Sightseeing,13.683,79.35,panoramic hill views,09:00-21:00,,,
Japali Teertham,Sightseeing,13.69,79.36,forest water stream,09:00-21:00,,,
Talakona Forest Reserve,Sightseeing,13.8015,79.2115,dense forest area,09:00-21:00,,,
Sri Vari Padalu,Sightseeing,13.6835,79.3495,sacred footprints site,09:00-21:00,,,
Rock Garden Tirumala,Sightseeing,13.684,79.348,sculpted rock garden,09:00-21:00,,,
Eco Park Talakona,Sightseeing,13.804,79.213,eco tourism park,09:00-21:00,,,
Papavinasam Dam,Sightseeing,13.679,79.351,dam scenic spot,09:00-21:00,,,
Gogarbham Dam,Sightseeing,13.6905,79.355,reservoir scenic views,09:00-21:00,,,
Srivari Mettu Viewpoint,Sightseeing,13.635,79.345,trek viewpoint hill,09:00-21:00,,,
Talakona Canyon View,Sightseeing,13.803,79.212,canyon forest view,09:00-21:00,,,
Seshachalam Valley View,Sightseeing,13.702,79.302,valley scenic point,09:00-21:00,,,
Tirumala Sunset Point,Sightseeing,13.6845,79.349,sunset hill viewpoint,17:30-19:00,,,
Sri Venkateswara Zoological Park,Wildlife,13.6167,79.4373,large zoo with native and exotic fauna,09:00-17:00,,,
Deer Park Tirumala,Wildlife,13.685,79.355,managed deer habitat near hill circuit,06:00-18:00,,,
Seshachalam Biosphere Buffer Trail,Wildlife,13.705,79.295,biosphere reserve edge trail for fauna spotting,06:00-18:00,,,
Talakona Wildlife Zone,Wildlife,13.8042,79.2124,forest wildlife observation corridor,06:00-18:00,,,
Mamandur Forest Birding Point,Wildlife,13.983,79.397,birding and raptor watch area,06:00-11:00 | 15:30-18:30,,,
Pulicat Lake Birding Jetty,Wildlife,13.544,80.179,migratory bird wetland viewpoint,06:00-10:30 | 16:00-18:30,,,
Nelapattu Bird Sanctuary View Deck,Wildlife,13.586,79.98,seasonal flamingo and pelican habitat,06:00-18:00,,,
Ubbalamadugu Forest Edge,Wildlife,13.455,79.955,forest stream zone with reptile and bird sightings,06:00-17:30,,,
Kailasakona Forest Falls Belt,Wildlife,13.611,79.505,moist forest patch with butterflies and birds,06:00-18:00,,,
Akkarampalli Eco Forest Patch,Wildlife,13.644,79.434,urban edge eco patch with small mammals and birds,06:00-18:00,,,
Kapila Teertham Eco Habitat,Wildlife,13.6358,79.4183,waterfall habitat with monkeys and hill birds,06:00-18:00,,,
Papavinasam Forest Stretch,Wildlife,13.6788,79.3507,thick forest belt with occasional deer sightings,06:00-18:00,,,
Japali Teertham Forest Habitat,Wildlife,13.6905,79.3604,forest habitat around sacred water stream,06:00-18:00,,,
Silathoranam Natural Habitat,Wildlife,13.6835,79.3475,scrub forest habitat with peafowl and small fauna,06:00-18:00,,,
Tirumala Ghat Road Monkey Zone,Wildlife,13.671,79.367,hill road biodiversity belt with primates and birds,06:00-18:00,,,
Chandragiri Reserve Patch,Wildlife,13.587,79.319,mixed dry forest near fort reserve fringe,06:00-18:00,,,
Sri Vari Mettu Eco Corridor,Wildlife,13.636,79.346,eco corridor with woodland fauna activity,06:00-18:00,,,
Seshachalam Valley Bird Point,Wildlife,13.702,79.302,valley canopy birdwatch and raptor glide point,06:00-18:00,,,
Renigunta Wetland Bird Spot,Wildlife,13.651,79.514,wetland fringe with herons and storks,06:00-18:00,,,
Talakona Bamboo Grove Zone,Wildlife,13.806,79.215,bamboo grove habitat with butterflies and birdlife,06:00-18:00,,,
,,,,,,Cure Hospital,Hospital,24 Hours
Venkateswara Temple,Temple,,,Deity: Venkateswara. Location: Tirumala. Timeline: 500-1000 CE. Tirumala Venkateswara Temple is one of the world ' s richest and famous Vaishnavite temple dedicated to Lord Venkateswara . [ 1 ] The temple is situated at an elevation of 853 metres on Tirumala Hills of Seshachalam Hill ranges.,,,,
Padmavathi Temple,Temple,,,"Deity: Padmavati. Location: Tiruchanur. Sri Padmavathi Temple at Tiruchanur is the temple dedicated to Goddess Alamelu (Padmavathi) or Alamelumanga, the wife of Lord Venkateswara . Tiruchanur, a suburb of Tirupati is at a distance of 5 km. There is also a temple dedicated to Lord Surya Narayana in front of Pushkarini.",,,,
Govindaraja Temple,Temple,,,"Deity: Govindaraja. Location: Tirupati. Timeline: 1130 CE. Govindaraja Temple is the temple dedicated to Sri Govindaraja Swamy who is believed to be brother of Lord Venkateswara . The temple was consecrated in the year 1130 AD by Vaishnavite, Saint Ramanujacharya. Before Sri Govindaraja Swamy, Sri Parthasarathy Swamy was the presiding deity of the temple. The temple was situated at the heart of the city. It has tall seven storied outer Gopuram with 11 kalasas and dated back to 14-15th century. This temple is one of the huge temples in Tirupati district. [ 2 ]",,,,
Kapila Theertham,Temple,,,Deity: Kapileswara and Kamakshi. Location: Tirupati. Timeline: Unknown. Kapila Theertham is the holy water falls in Tirupati named after Kapila Muni. It hosts Kapileswara Temple which is dedicated to Lord Shiva and the deity is referred to as Kapileswara. The water falls directly fall from the hill rocks into the pond opposite to the temple. The temple and the falls are considered highly devotional. The greatness of the temple deity was found in the Kulothunga Chola Inscriptions of the 10th century.,,,,
Kodandarama Temple,Temple,,,"Deity: Rama , Sita and Lakshmana. Location: Tirupati. Timeline: 10th Century. The 10th century temple is dedicated to Lord Rama , an incarnation of Vishnu , along with Sita and Lakshmana . According to Varaha Purana , during Treta Yuga , Rama resided here along with Sita and Lakshmana on his return from Lankapuri . [ 3 ]",,,,
Tataiahgunta gangamma Temple,Temple,,,"Deity: Gangamma. Location: Tirupati. Thathayyagunta Gangamma Temple is the temple dedicated to Goddess Gangamma, Gramadevata of Tirupati and sister of Lord Venkateswara . The temple is one of the ancient and is at the heart of the city. Tirupati Ganga Jatara celebrated every year in the month of May is the most auspiciuos occasion celebrated in this temple. The temple activities are looked after by Thathayya Gunta Gangamma Devastanam. [ 4 ]",,,,
"Vakula Matha Temple , Tirupati",Temple,,,"Deity: Vakula Devi. Location: Tirupati. Timeline: 17th Century. Vakula Devi is the foster mother of Lord Venkateswara. The temple in her name was built about 300 years ago on Perurubanda hillock, around the scenic Peruru, in Tirupati and located within 10 kilometers of Tirumala hills. As per the wishes of Vakula maata (mother), this temple was constructed in such a way that visage of maata faces the Seven Hills, where her son Lord Venkateswara resides.",,,,
Kalyana Venkateswara Temple,Temple,,,"Deity: Kalyana Venkateswara. Location: Srinivasamangapuram, Tirupati. This temple is at a distance of 12 km from Tirupati . It is believed that Lord Venkateswara stayed here for 6 months after marriage, before moving to Tirumala .",,,,
Prasanna Venkateswara Temple,Temple,,,"Deity: Prasanna Venkateswara. Location: Appalayagunta, Tirupati. Timeline: 1232 CE. This temple is at a distance of 16 km from Tirupati . The right hand(hasta) of presiding deity will be in prasanna(Abhaya-blessing) posture instead of usual varada posture in other venkateswara temples and hence the temple got the name Prasanna Venkateswara temple.",,,,
Parasurameswara Temple,Temple,,,"Deity: Shiva. Location: Gudimallam , Tirupati. Timeline: 3rd Century BCE [ 5 ]. The Shiva Linga in this temple is supposed to be the earliest Linga discovered so far. [ 5 ] This is one of the five ancient Shiva temples on the bank of Swarnamuki River",,,,
Agatheeswara Temple,Temple,,,Deity: Shiva. Location: Tondavada(Mukkoti). This temple is 10 km away from Tirupati. Shiva Linga in this Temple is believed to be installed by sage Agastya . [ citation needed ] This is one of the five ancient Shiva temples on the bank of Swarnamuki River.,,,,
Parasareswara Temple,Temple,,,Deity: Shiva. Location: Yogimallavaram. This temple is in Tiruchanur and is 3 km away from Tirupati. This is one of the five ancient Shiva temples on the bank of Swarnamuki River,,,,
Radha Govindha Lotus Mandir(ISCKON),Temple,,,"Deity: Krishna , Radha and Ashtabharyas. Location: Tirupati. Timeline: 1984(Old Temple) 2005(Lotus Temple). This temple is also referred to as Lotus Temple because of its design and also as Hare Krishna Temple.",,,,
"Kodandarama Temple, Chandragiri",Temple,,,"Deity: Rama, Sita, Lakshmana, Bharata, Shatrughna, Hanuman and Garuda. Location: Chandragiri. Timeline: 16th Century. A temple dedicated to Rama, where idols of Rama, Sita, Lakshmana, Bharata, Shatrughna, flanked by Hanuman and Garuda on either side can be seen on a single pedestal(Eka peetam) [ 6 ]",,,,
"Kalyana Venkateswara Temple, Narayanavanam",Temple,,,"Deity: Sri Kalyana Venkateswara and Padmavathi thayar. Location: Narayanavanam. Timeline: 16th Century. Sri Kalyana Venkateswaraswamy Temple is a Hindu-Vaishnavite temple situated at Narayanavanam, a town in Tirupati District of Andhra Pradesh state, India. The Temple is dedicated to Lord Kalyana Venkateswara, an incarnation of Vishnu. The temple is situated at 2 km east of Puttur and 45 km south of Tirupati. It is believed that Lord Venkateswara married Padmavati at this place and then moved to Tirumala.",,,,
